;Gene;Size
168;BRCA1;3
169;BRCA2;5
170;CDH1;5
171;SLC22A18;3
172;PHB;1
173;PIK3CA;3
174;RAD51;1
175;TP53;11
176;TSG101;1
177;XRCC3;2
178;RAD54L;3
179;PPM1D;1
180;RB1CC1;1
181;CHEK2;4
182;BRIP1;2
183;SCN5A;5
184;RDS;4
185;C1QA;1
186;C1QB;1
187;C1QG;1
188;C1S;1
189;C2;1
190;C3;1
191;C4A;1
192;C4B;1
193;C6;2
194;C7;1
195;C8B;1
196;C9;1
197;IF;1
198;MLH1;4
199;MSH2;8
200;COL1A1;5
201;FGFR4;1
202;MSH6;4
203;SDHD;4
204;ACTC;1
205;CAV3;5
206;COX15;2
207;DES;2
208;EYA4;2
209;LMNA;3
210;MYBPC3;1
211;MYH7;3
212;MYL2;1
213;MYL3;1
214;PLN;1
215;SGCD;2
216;TNNC1;1
217;TNNI3;1
218;TNNT2;1
219;TPM1;1
220;TTN;2
221;CSRP3;1
222;TCAP;2
223;ABCC9;1
224;PRKAG2;2
225;MYLK2;1
226;MYH8;2
227;CRYAA;1
228;CRYAB;2
229;CRYBA1;1
230;CRYBB1;1
231;CRYBB2;1
232;CRYGC;1
233;CRYGD;1
234;GJA3;1
235;GJA8;1
236;HSF4;1
237;LIM2;1
238;MIP;1
239;BFSP2;1
240;BDNF;3
241;EDN3;3
242;GDNF;2
243;RET;5
244;PHOX2B;3
245;CACNA1A;4
246;CP;3
247;ABCA1;4
248;CST3;1
249;DNM2;1
250;EGR2;3
251;GARS;2
252;GJB1;1
253;HOXD10;2
254;HSPB1;2
255;MPZ;4
256;NEFL;1
257;PMP22;4
258;RAB7;1
259;MTMR2;1
260;LITAF;1
261;MFN2;1
262;NDRG1;1
263;KIF1B;1
264;GDAP1;1
265;SH3TC2;1
266;SBF2;1
267;MSX1;3
268;PVRL1;3
269;TBX22;1
270;NDP;3
271;RPS6KA3;2
272;SHH;3
273;BAX;2
274;CCND1;3
275;BUB1;1
276;BUB1B;1
277;CTNNB1;4
278;DCC;1
279;EP300;2
280;MCC;1
281;NRAS;1
282;ODC1;1
283;PDGFRL;2
284;PLA2G2A;1
285;PMS1;1
286;PMS2;3
287;PTPN12;1
288;PTPRJ;1
289;SRC;1
290;TGFBR2;3
291;AXIN2;2
292;BCL10;5
293;DLC1;1
294;RAD54B;2
295;MLH3;1
296;ABCA4;5
297;CRX;3
298;GUCA1A;1
299;GUCY2D;2
300;RPGR;3
301;AIPL1;3
302;RPGRIP1;2
303;MASS1;2
304;COL8A2;2
305;TACSTD2;1
306;TGFBI;1
307;KERA;1
308;VSX1;3
309;PIP5K3;1
310;MEF2A;1
311;MMP3;1
312;PON1;1
313;PON2;1
314;KL;1
315;CYP2A6;2
316;BMPR1A;2
317;CPT1A;1
318;CPT2;2
319;SCN4A;6
320;PAX3;3
321;MSX2;2
322;HLA-DQB1;1
323;PRNP;5
324;ATP7A;3
325;ELN;3
326;FBLN5;2
327;KRT1;5
328;ACTG1;1
329;ATP2B2;1
330;COL11A2;4
331;CRYM;1
332;TIMM8A;3
333;DFNA5;1
334;COCH;2
335;DIAPH1;1
336;DSPP;3
337;GJB3;2
338;MYH9;5
339;MYO1A;1
340;MYO6;1
341;MYO7A;2
342;SLC26A4;3
343;POU3F4;1
344;POU4F3;1
345;TECTA;1
346;KCNQ4;1
347;OTOF;1
348;USH1C;2
349;GJB6;2
350;CLDN14;1
351;DFNB31;1
352;MYO15A;1
353;MYO3A;1
354;KIAA1199;1
355;CDH23;2
356;TMPRSS3;1
357;PCDH15;2
358;MYH14;1
359;GRHL2;1
360;ESPN;1
361;TMC1;1
362;OTOA;1
363;STRC;1
364;TMIE;1
365;SLC26A5;1
366;PRX;1
367;MAPT;4
368;SNCB;1
369;SNCA;2
370;ITM2B;1
371;WT1;5
372;PDGFB;3
373;AKT2;1
374;GCGR;1
375;GCK;3
376;GPD2;1
377;HNF4A;2
378;INSR;3
379;IPF1;3
380;IRS1;1
381;KCNJ11;2
382;NEUROD1;1
383;ENPP1;3
384;PPARG;5
385;SLC2A2;2
386;SLC2A4;1
387;ABCC8;2
388;TCF1;3
389;TCF2;3
390;VEGF;1
391;IRS2;1
392;MAPK8IP1;1
393;CAPN10;1
394;PTPN22;3
395;FOXP3;2
396;RETN;2
397;PTF1A;1
398;SUMO4;1
399;DBH;2
400;GATA1;3
401;FGG;3
402;COL7A1;4
403;EDA;1
404;NFKBIA;1
405;PKP1;1
406;IKBKG;2
407;EDAR;1
408;EDARADD;1
409;COL1A2;4
410;COL3A1;2
411;COL5A1;1
412;COL5A2;1
413;PLOD1;2
414;TNXB;1
415;ADAMTS2;1
416;B4GALT7;1
417;EPB41;1
418;SPTA1;3
419;EMD;1
420;SERPINA1;2
421;MSH3;1
422;NR2E3;2
423;COL17A1;1
424;ITGA6;1
425;ITGB4;1
426;KRT5;1
427;KRT14;1
428;LAMA3;2
429;LAMB3;1
430;LAMC2;1
431;PLEC1;2
432;KRT9;1
433;KRT10;3
434;CHRNA4;2
435;CHRNB2;1
436;CLCN2;1
437;CSTB;1
438;GABRA1;1
439;GABRG2;2
440;KCNQ2;2
441;KCNQ3;1
442;ME2;1
443;SCN1A;1
444;SYN1;1
445;EPM2A;1
446;JRK;1
447;LGI1;2
448;SLC25A22;1
449;NHLRC1;1
450;COL9A1;1
451;COL9A2;2
452;COL9A3;2
453;COMP;2
454;MATN3;3
455;KCNA1;1
456;LOR;2
457;GJB4;1
458;RNF6;1
459;LZTS1;1
460;WWOX;1
461;ESR1;3
462;FZD4;1
463;F7;2
464;F10;1
465;F11;1
466;F12;1
467;F13A1;1
468;F13B;1
469;CFH;4
470;MCFD2;1
471;FANCA;1
472;FANCC;1
473;FANCD2;1
474;FANCE;1
475;FANCB;1
476;FANCF;1
477;FANCG;1
478;FANCL;1
479;FANCM;1
480;G6PD;3
481;RDH5;1
482;KLF6;2
483;IL1B;1
484;IL1RN;1
485;IRF1;5
486;KIT;6
487;PDGFRA;2
488;CYP1B1;2
489;MYOC;1
490;OPA1;2
491;OPTN;1
492;DMBT1;1
493;GSS;2
494;TG;3
495;TPO;4
496;BCS1L;3
497;IL10;3
498;CTLA4;2
499;GC;1
500;GHRHR;1
501;STAT5B;2
502;VHL;5
503;ELA2;2
504;AK1;1
505;BPGM;1
506;GCLC;1
507;GPI;1
508;HK1;1
509;PGK1;2
510;TPI1;1
511;F5;3
512;IGF2R;1
513;MET;2
514;AXIN1;1
515;ECE1;2
516;NRTN;1
517;CCR2;1
518;CCR5;1
519;CCL5;1
520;SIX3;1
521;TGIF;1
522;ZIC2;1
523;CBS;2
524;MTHFR;1
525;HD;1
526;TBP;3
527;JPH3;1
528;BAAT;1
529;EPHX1;2
530;TJP2;1
531;EPHX2;1
532;ITIH4;1
533;LDLR;1
534;C7orf16;1
535;LDLRAP1;1
536;PCSK9;1
537;APOC2;1
538;CASR;3
539;CDC73;2
540;INS;2
541;PRODH;2
542;ALDH4A1;1
543;REN;2
544;ADD1;1
545;AGT;3
546;AGTR1;2
547;CYP3A5;1
548;GNB3;1
549;KCNMB1;1
550;NR3C2;2
551;PTGIS;1
552;TSHR;3
553;RP1;2
554;APOA5;1
555;LIPI;1
556;PAX9;2
557;CACNA1S;3
558;KCNE3;1
559;SLC5A5;1
560;TSHB;1
561;PAX8;1
562;DUOX2;1
563;ALOX12B;1
564;TGM1;3
565;ALOXE3;1
566;STS;2
567;KRT2A;1
568;ABCA12;1
569;ICHTHYIN;1
570;ARX;6
571;SOX3;2
572;NTRK1;2
573;GABRB3;1
574;PPP1R3A;1
575;PTPN1;1
576;PITX2;3
577;FGFR1;3
578;KCNE1;2
579;SMAD4;3
580;KAL1;1
581;DSG1;1
582;SAT;1
583;AGRP;2
584;RPE65;2
585;CRB1;3
586;RDH12;1
587;GCSL;2
588;NDUFS3;1
589;NDUFS4;2
590;NDUFS8;1
591;PDHA1;2
592;SDHA;2
593;SURF1;1
594;LRPPRC;1
595;NDUFS7;1
596;PTPN11;3
597;ABL1;1
598;ARNT;1
599;BCL2;1
600;BCR;1
601;RUNX1;3
602;CEBPA;1
603;FLT3;1
604;HOXD4;1
605;LPP;2
606;NBN;2
607;NF1;4
608;NPM1;1
609;NUMA1;1
610;P2RX7;1
611;PML;1
612;TAL1;1
613;TAL2;1
614;TRA@;1
615;ZBTB16;1
616;NUP214;1
617;MLLT10;1
618;PICALM;1
619;GMPS;1
620;ZNFN1A1;1
621;MLLT11;1
622;ARHGAP26;1
623;ARHGEF12;1
624;CHIC2;1
625;WHSC1L1;1
626;ARL11;1
627;SCNN1B;2
628;SCNN1G;2
629;CDKN2A;4
630;AGPAT2;1
631;PPARGC1A;1
632;BSCL2;3
633;HMGA2;3
634;DCX;2
635;PAFAH1B1;2
636;RELN;1
637;TGFBR1;1
638;ANK2;1
639;KCNJ2;1
640;MAP3K8;1
641;PPP2R1B;1
642;BCL8;1
643;FCGR2B;1
644;SH2D1A;1
645;RAP1GDS1;1
646;MAD1L1;2
647;HMCN1;1
648;VMD2;3
649;CD36;2
650;ICAM1;1
651;NOS2A;1
652;RYR1;2
653;BCKDHA;1
654;BCKDHB;1
655;DBT;1
656;COL11A1;2
657;SUFU;1
658;CDK4;1
659;STK11;3
660;MN1;1
661;NF2;3
662;AGTR2;1
663;DLG3;1
664;ACSL4;1
665;AFF2;1
666;GDI1;1
667;OPHN1;1
668;PAK3;1
669;SLC6A8;2
670;SMS;1
671;TSPAN7;1
672;ZNF41;1
673;SMCX;1
674;PRSS12;1
675;ARHGEF6;1
676;IL1RAPL1;1
677;FTSJ1;1
678;CRBN;1
679;ZNF81;1
680;EDNRA;1
681;NDUFS1;1
682;NDUFS2;1
683;UQCRB;1
684;DYSF;3
685;CAPN3;1
686;FCMD;2
687;LAMA2;1
688;SGCA;1
689;SGCB;1
690;SGCG;1
691;LARGE;1
692;MYOT;2
693;POMT1;2
694;TRIM32;1
695;SEPN1;1
696;FKRP;1
697;CHAT;1
698;CHRNA1;1
699;CHRNB1;1
700;CHRND;1
701;CHRNE;1
702;RAPSN;1
703;MDS1;1
704;ACSL6;2
705;JAK2;3
706;CBFB;1
707;CSF1R;1
708;ALOX5AP;2
709;GCLM;1
710;LGALS2;1
711;LTA;1
712;OLR1;1
713;THBD;2
714;TNFSF4;1
715;EFHC1;1
716;ACTA1;1
717;ITGA7;1
718;PGAM2;1
719;CLCN1;1
720;NME1;1
721;MXI1;2
722;NGFB;1
723;SPTLC1;1
724;HSPB8;1
725;HSN2;1
726;FCGR3A;2
727;GFI1;1
728;WAS;3
729;GPR51;1
730;CACNA1F;1
731;GNAT1;1
732;PDE6B;2
733;RHO;2
734;NYX;1
735;ADRB3;1
736;AKR1C2;1
737;LEP;1
738;LEPR;1
739;MC3R;1
740;MC4R;1
741;NTRK2;1
742;PCSK1;1
743;POMC;1
744;SIM1;1
745;UCP1;1
746;UCP2;1
747;UCP3;1
748;NR0B2;1
749;CART;1
750;SLC6A14;1
751;GHRL;1
752;RAG1;2
753;RAG2;2
754;DCLRE1C;2
755;FRZB;1
756;ASPN;1
757;CLCN7;1
758;TCIRG1;1
759;OSTM1;1
760;CALCA;1
761;CALCR;1
762;SLC34A1;2
763;RRAS2;1
764;ACVR1B;1
765;RBBP8;1
766;ARMET;1
767;SDHB;2
768;SDHC;1
769;ALX4;1
770;NDUFV2;1
771;NR4A2;1
772;UCHL1;1
773;SNCAIP;1
774;PARK7;1
775;PINK1;1
776;LRRK2;1
777;SOX10;3
778;PLP1;2
779;GNAI2;2
780;THRA;1
781;P2RY12;1
782;STOX1;1
783;ATBF1;1
784;EPHB2;1
785;MSR1;1
786;RNASEL;1
787;ELAC2;1
788;SCNN1A;1
789;WNK1;1
790;WNK4;1
791;PC;1
792;PDHB;1
793;OGG1;1
794;PRCC;1
795;TFE3;1
796;RNF139;1
797;NRL;2
798;PROM1;1
799;LRAT;1
800;C1QTNF5;1
801;CA4;1
802;CNGB1;1
803;CNGA1;1
804;IMPDH1;1
805;PDE6A;1
806;RGR;1
807;ROM1;1
808;RP9;1
809;RP2;1
810;TULP1;1
811;USH2A;2
812;PRPF3;1
813;MERTK;1
814;PRPF8;1
815;FSCN2;1
816;PRPF31;1
817;CERKL;1
818;CDKL5;1
819;FOXO1A;1
820;PAX7;1
821;MIF;1
822;NFKBIL1;1
823;SLC22A4;1
824;PADI4;1
825;RHD;1
826;CREBBP;1
827;TWIST1;1
828;HEXB;2
829;COMT;1
830;SYN2;1
831;ENTH;1
832;DISC1;1
833;RTN4R;1
834;TAAR6;1
835;CASP12P1;1
836;CD3D;1
837;IL2RG;2
838;IL7R;1
839;PTPRC;2
840;GPC3;2
841;HSPD1;1
842;KIF5A;1
843;SPAST;1
844;SPG7;1
845;SACS;1
846;SPG3A;1
847;NIPA1;1
848;ANK1;1
849;EPB42;1
850;IGHMBP2;1
851;SMN1;1
852;FGF14;1
853;PPP2R2B;1
854;PRKCG;1
855;ATXN1;1
856;ATXN2;1
857;ATXN7;1
858;KLHL1AS;1
859;ATXN10;1
860;PLEKHG4;1
861;TDP1;1
862;SCA25;1
863;AGC1;1
864;TRAPPC2;1
865;CHST3;1
866;ING1;1
867;TNFRSF10B;1
868;ELOVL4;2
869;PDE4D;1
870;FASLG;1
871;DNASE1;1
872;PDCD1;1
873;ZFPM2;1
874;THPO;1
875;MPL;1
876;MASTL;1
877;SERPIND1;1
878;HRG;1
879;PROC;1
880;ADAMTS13;1
881;PCM1;1
882;NCOA4;1
883;TRIM24;1
884;MINPP1;1
885;GOLGA5;1
886;TRIM33;1
887;MITF;2
888;APRT;1
889;USH3A;1
890;USH1G;1
891;CASQ2;1
892;OAS1;1
893;SNAI2;1
894;RAB3GAP1;1
895;ADAMTS10;1
896;POU6F2;1
897;CHST6;1
898;THRB;1
899;ATP6V1B1;1
900;CA2;1
901;SLC4A4;1
902;ATP6V0A4;1
