;Source;Target;Common Genes
53;Adult i phenotype;Blood group;1
54;Afibrinogenemia;Amyloidosis;1
55;Afibrinogenemia;Dysfibrinogenemia;2
56;Afibrinogenemia;Thrombophilia;1
57;Alagille syndrome;Deafness;1
58;Alagille syndrome;Tetralogy of Fallot;1
59;Albinism;Waardenburg syndrome;1
60;Alcohol dependence;Anorexia nervosa;1
61;Alcohol dependence;Obsessive-compulsive disorder;1
62;Alcohol dependence;Schizophrenia;1
63;Alcohol dependence;Seasonal affective disorder;1
64;Alexander disease;Leigh syndrome;1
65;Alexander disease;Mitochondrial complex deciency;1
66;Allergic rhinitis;Asthma;1
67;Alternating hemiplegia of childhood;Migraine;1
68;Alzheimer disease;Hyperlipoproteinemia;1
69;Alzheimer disease;Myocardial infarction;2
70;Alzheimer disease;Sea-blue histiocyte disease;1
71;Alzheimer disease;Amyloidosis;1
72;Alzheimer disease;Schizophrenia;1
73;Alzheimer disease;Angiotensin I-converting enzyme;1
74;Alzheimer disease;Diabetes mellitus;1
75;Alzheimer disease;Renal tubular dysgenesis;1
76;Alzheimer disease;SARS, progression of;1
77;Alzheimer disease;Myeloperoxidase deficiency;1
78;Alzheimer disease;Coronary spasms;1
79;Alzheimer disease;Hypertension;1
80;Alzheimer disease;Placental abruption;1
81;Alzheimer disease;Dementia;1
82;Alzheimer disease;Pick disease;1
83;Amyloid neuropathy;Amyloidosis;1
84;Amyloid neuropathy;Carpal tunnel syndrome, familial;1
85;Amyloid neuropathy;Dystransthyretinemic hyperthyroxinemia;1
86;Amyloidosis;Apolipoprotein deficiency;1
87;Amyloidosis;Corneal dystrophy;1
88;Amyloidosis;Hypertriglyceridemia;1
89;Amyloidosis;Hypoalphalipoproteinemia;1
90;Amyloidosis;Alzheimer disease;1
91;Amyloidosis;Schizophrenia;1
92;Amyloidosis;Afibrinogenemia;1
93;Amyloidosis;Dysfibrinogenemia;1
94;Amyloidosis;Amyloid neuropathy;1
95;Amyloidosis;Carpal tunnel syndrome, familial;1
96;Amyloidosis;Dystransthyretinemic hyperthyroxinemia;1
97;Amyotrophic lateral sclerosis;Lower motor neuron disease, progressive, without sensory symptoms;1
98;Amyotrophic lateral sclerosis;Spinal muscular atrophy;1
99;Amyotrophic lateral sclerosis;Primary lateral sclerosis;1
100;Amyotrophic lateral sclerosis;Spastic ataxia/paraplegia;1
101;Androgen insensitivity;Breast cancer;1
102;Androgen insensitivity;Perineal hypospadias;1
103;Androgen insensitivity;Prostate cancer;1
104;Androgen insensitivity;Spinal muscular atrophy;1
105;Anemia;Rh-mod syndrome;1
106;Anemia;Elliptocytosis;1
107;Anemia;Spherocytosis;1
108;Angelman syndrome;Autism;1
109;Angelman syndrome;Mental retardation;1
110;Angelman syndrome;PPM-X syndrome;1
111;Angelman syndrome;Rett syndrome;1
112;Angiofibroma, sporadic;Adrenal adenoma;1
113;Angiofibroma, sporadic;Carcinoid tumor of lung;1
114;Angiofibroma, sporadic;Hyperparathyroidism;1
115;Angiofibroma, sporadic;Lipoma;1
116;Angiofibroma, sporadic;Multiple endocrine neoplasia;1
117;Angiofibroma, sporadic;Parathyroid adenoma;1
118;Angiofibroma, sporadic;Prolactinoma, hyperparathyroidism, carcinoid syndrome;1
119;Angiotensin I-converting enzyme;Alzheimer disease;1
120;Angiotensin I-converting enzyme;Diabetes mellitus;1
121;Angiotensin I-converting enzyme;Myocardial infarction;1
122;Angiotensin I-converting enzyme;Renal tubular dysgenesis;1
123;Angiotensin I-converting enzyme;SARS, progression of;1
124;Aniridia, type II;Cataract;1
125;Aniridia, type II;Coloboma, ocular;1
126;Aniridia, type II;Ectopia;1
127;Aniridia, type II;Eye anomalies;1
128;Aniridia, type II;Foveal hypoplasia;1
129;Aniridia, type II;Keratitis;1
130;Aniridia, type II;Morning glory disc anomaly;1
131;Aniridia, type II;Optic nerve hypoplasia/aplasia;1
132;Aniridia, type II;Peters anomaly;1
133;Anorexia nervosa;Alcohol dependence;1
134;Anorexia nervosa;Obsessive-compulsive disorder;1
135;Anorexia nervosa;Schizophrenia;1
136;Anorexia nervosa;Seasonal affective disorder;1
137;Anterior segment anomalies and cataract;Branchiootic syndrome;1
138;Anterior segment anomalies and cataract;Axenfeld anomaly;1
139;Anterior segment anomalies and cataract;Iridogoniodysgenesis;1
140;Anterior segment anomalies and cataract;Iris hypoplasia and glaucoma;1
141;Anterior segment anomalies and cataract;Rieger syndrome;1
142;Anterior segment anomalies and cataract;Cataract;1
143;Anxiety-related personality traits;Obsessive-compulsive disorder;1
144;Aortic aneurysm;Ectopia;1
145;Aortic aneurysm;Marfan syndrome;1
146;Aortic aneurysm;MASS syndrome;1
147;Aortic aneurysm;Shprintzen-Goldberg syndrome;1
148;Aortic aneurysm;Weill-Marchesani syndrome;1
149;Apert syndrome;Beare-Stevenson cutis gyrata syndrome;1
150;Apert syndrome;Craniofacial-skeletal-dermatologic dysplasia;1
151;Apert syndrome;Craniosynostosis;1
152;Apert syndrome;Crouzon syndrome;1
153;Apert syndrome;Gastric cancer;1
154;Apert syndrome;Jackson-Weiss syndrome;1
155;Apert syndrome;Pfeiffer syndrome;1
156;Apert syndrome;Saethre-Chotzen syndrome;1
157;Apolipoprotein deficiency;Amyloidosis;1
158;Apolipoprotein deficiency;Corneal dystrophy;1
159;Apolipoprotein deficiency;Hypertriglyceridemia;1
160;Apolipoprotein deficiency;Hypoalphalipoproteinemia;1
161;Apolipoprotein deficiency;Hypercholesterolemia;1
162;Apparent mineralocorticoid excess, hypertension due to;Hypertension;1
163;Aquaporin-1 deficiency;Blood group;1
164;Arrhythmogenic right ventricular dysplasia;Dilated cardiomyopathy with woolly hair and keratoderma;1
165;Arrhythmogenic right ventricular dysplasia;Epidermolysis bullosa;1
166;Arrhythmogenic right ventricular dysplasia;Keratosis palmoplantaria striata;1
167;Arrhythmogenic right ventricular dysplasia;Skin fragility-woolly hair syndrome;1
168;Arrhythmogenic right ventricular dysplasia;Ventricular tachycardia;1
169;Arthropathy;Spondyloepiphyseal dysplasia;1
170;Asperger syndrome;Autism;2
171;Asperger syndrome;Mental retardation;1
172;Asthma;Beta-2-adrenoreceptor agonist, reduced response to;1
173;Asthma;Obesity;1
174;Asthma;Atherosclerosis;1
175;Asthma;Allergic rhinitis;1
176;Asthma;Dementia;1
177;Asthma;Malaria;1
178;Asthma;Migraine;1
179;Asthma;Sepsis;1
180;Asthma;Atopy;1
181;Asthma;Platelet defect/deficiency;1
182;Asthma;IgE levels QTL;1
183;Ataxia;Epilepsy;1
184;Ataxia-telangiectasia;Breast cancer;1
185;Ataxia-telangiectasia;Lymphoma;1
186;Ataxia-telangiectasia;T-cell lymphoblastic leukemia;1
187;Atelosteogenesis;Achondrogenesis Ib;1
188;Atelosteogenesis;Diastrophic dysplasia;1
189;Atelosteogenesis;Epiphyseal dysplasia;1
190;Atelosteogenesis;Larson syndrome;1
191;Atelosteogenesis;Spondylocarpotarsal synostosis syndrome;1
192;Atherosclerosis;Asthma;1
193;Atopy;Asthma;1
194;Atopy;Platelet defect/deficiency;1
195;Atopy;Netherton syndrome;1
196;Atrial fibrillation;Atrioventricular block;1
197;Atrial fibrillation;Tetralogy of Fallot;1
198;Atrial fibrillation;Jervell and Lange-Nielsen syndrome;1
199;Atrial fibrillation;Long QT syndrome;2
200;Atrial fibrillation;Cardiomyopathy;1
201;Atrioventricular block;Atrial fibrillation;1
202;Atrioventricular block;Tetralogy of Fallot;1
203;Atrioventricular block;Hypoplastic left heart syndrome;1
204;Atrioventricular block;Oculodentodigital dysplasia;1
205;Atrioventricular block;Syndactyly;1
206;Autism;Angelman syndrome;1
207;Autism;Mental retardation;2
208;Autism;PPM-X syndrome;1
209;Autism;Rett syndrome;1
210;Autism;Asperger syndrome;2
211;Autoimmune disease;Squamous cell carcinoma;1
212;Autoimmune disease;Hepatic adenoma;1
213;Autoimmune disease;Gastric cancer;1
214;Autoimmune disease;Non-Hodgkin lymphoma;1
215;Axenfeld anomaly;Anterior segment anomalies and cataract;1
216;Axenfeld anomaly;Iridogoniodysgenesis;1
217;Axenfeld anomaly;Iris hypoplasia and glaucoma;1
218;Axenfeld anomaly;Rieger syndrome;1
219;Bannayan-Riley-Ruvalcaba syndrome;Cowden disease;1
220;Bannayan-Riley-Ruvalcaba syndrome;Endometrial carcinoma;1
221;Bannayan-Riley-Ruvalcaba syndrome;Lhermitte-Duclos syndrome;1
222;Bannayan-Riley-Ruvalcaba syndrome;Meningioma;1
223;Bannayan-Riley-Ruvalcaba syndrome;Oligodendroglioma;1
224;Bannayan-Riley-Ruvalcaba syndrome;Prostate cancer;1
225;Bannayan-Riley-Ruvalcaba syndrome;Thyroid carcinoma;1
226;Bannayan-Riley-Ruvalcaba syndrome;VATER association with hydrocephalus;1
227;Bare lymphocyte syndrome;Multiple sclerosis;1
228;Bare lymphocyte syndrome;Rheumatoid arthritis;1
229;Bare lymphocyte syndrome;Wegener granulomatosis;1
230;Barth syndrome;Cardiomyopathy;1
231;Barth syndrome;Noncompaction of left ventricular myocardium;1
232;Bart-Pumphrey syndrome;Deafness;1
233;Bart-Pumphrey syndrome;Hystrix-like ichthyosis with deafness;1
234;Bart-Pumphrey syndrome;Keratitis-ichthyosis-deafness syndrome;1
235;Bart-Pumphrey syndrome;Keratoderma, palmoplantar, with deafness;1
236;Bart-Pumphrey syndrome;Vohwinkel syndrome;1
237;Basal cell carcinoma;Basal cell nevus syndrome;1
238;Basal cell carcinoma;Holoprosencephaly;1
239;Basal cell carcinoma;Capillary malformations;1
240;Basal cell carcinoma;Parkes Weber syndrome;1
241;Basal cell carcinoma;Medulloblastoma;1
242;Beare-Stevenson cutis gyrata syndrome;Apert syndrome;1
243;Beare-Stevenson cutis gyrata syndrome;Craniofacial-skeletal-dermatologic dysplasia;1
244;Beare-Stevenson cutis gyrata syndrome;Craniosynostosis;1
245;Beare-Stevenson cutis gyrata syndrome;Crouzon syndrome;1
246;Beare-Stevenson cutis gyrata syndrome;Gastric cancer;1
247;Beare-Stevenson cutis gyrata syndrome;Jackson-Weiss syndrome;1
248;Beare-Stevenson cutis gyrata syndrome;Pfeiffer syndrome;1
249;Beare-Stevenson cutis gyrata syndrome;Saethre-Chotzen syndrome;1
250;Becker muscular dystrophy;Cardiomyopathy;1
251;Becker muscular dystrophy;Duchenne muscular dystrophy;1
252;Becker muscular dystrophy;Myopathy;1
253;Benzene toxicity;Leukemia;1
254;Beta-2-adrenoreceptor agonist, reduced response to;Asthma;1
255;Beta-2-adrenoreceptor agonist, reduced response to;Obesity;1
256;Birt-Hogg-Dube syndrome;Colon cancer;1
257;Birt-Hogg-Dube syndrome;Pneumothorax, primary spontaneous;1
258;Birt-Hogg-Dube syndrome;Renal cell carcinoma;1
259;Bladder cancer;Achondroplasia;1
260;Bladder cancer;Cervical carcinoma;1
261;Bladder cancer;Colon cancer;1
262;Bladder cancer;Crouzon syndrome;1
263;Bladder cancer;Hypochondroplasia;1
264;Bladder cancer;Muenke syndrome;1
265;Bladder cancer;Thanatophoric dysplasia, types I and II;1
266;Bladder cancer;Costello syndrome;1
267;Bladder cancer;Thyroid carcinoma;1
268;Bladder cancer;Breast cancer;1
269;Bladder cancer;Leukemia;1
270;Bladder cancer;Lung cancer;1
271;Bladder cancer;Pancreatic cancer;1
272;Bladder cancer;Stomach cancer;1
273;Bladder cancer;Retinoblastoma;1
274;Blood group;Aquaporin-1 deficiency;1
275;Blood group;Adult i phenotype;1
276;Blood group;Malaria;1
277;Blood group;Rh-negative blood type;1
278;Blood group;Elliptocytosis;1
279;Blood group;Hemolytic anemia;1
280;Blood group;Renal tubular acidosis;1
281;Blood group;Spherocytosis;1
282;Bone mineral density variability;Exudative vitreoretinopathy;1
283;Bone mineral density variability;Hyperostosis, endosteal;1
284;Bone mineral density variability;Osteopetrosis;1
285;Bone mineral density variability;Osteoporosis;1
286;Bone mineral density variability;Osteoporosis-pseudoglioma syndrome;1
287;Bone mineral density variability;van Buchem disease;1
288;Bothnia retinal dystrophy;Fundus albipunctatus;1
289;Bothnia retinal dystrophy;Newfoundland rod-cone dystrophy;1
290;Bothnia retinal dystrophy;Retinitis pigmentosa;1
291;Branchiootic syndrome;Anterior segment anomalies and cataract;1
292;Breast cancer;Androgen insensitivity;1
293;Breast cancer;Perineal hypospadias;1
294;Breast cancer;Prostate cancer;3
295;Breast cancer;Spinal muscular atrophy;1
296;Breast cancer;Ataxia-telangiectasia;1
297;Breast cancer;Lymphoma;2
298;Breast cancer;T-cell lymphoblastic leukemia;1
299;Breast cancer;Ovarian cancer;3
300;Breast cancer;Papillary serous carcinoma of the peritoneum;1
301;Breast cancer;Fanconi anemia;2
302;Breast cancer;Pancreatic cancer;3
303;Breast cancer;Wilms tumor;1
304;Breast cancer;Endometrial carcinoma;1
305;Breast cancer;Gastric cancer;1
306;Breast cancer;Listeria monocytogenes;1
307;Breast cancer;Bladder cancer;1
308;Breast cancer;Leukemia;1
309;Breast cancer;Lung cancer;2
310;Breast cancer;Stomach cancer;1
311;Breast cancer;Rhabdomyosarcoma;1
312;Breast cancer;Colon cancer;3
313;Breast cancer;Adrenal cortical carcinoma;1
314;Breast cancer;Hepatic adenoma;1
315;Breast cancer;Histiocytoma;1
316;Breast cancer;Li-Fraumeni syndrome;2
317;Breast cancer;Multiple malignancy syndrome;1
318;Breast cancer;Nasopharyngeal carcinoma;1
319;Breast cancer;Osteosarcoma;2
320;Breast cancer;Thyroid carcinoma;1
321;Breast cancer;Melanoma;1
322;Brugada syndrome;Heart block;1
323;Brugada syndrome;Long QT syndrome;1
324;Brugada syndrome;Sick sinus syndrome;1
325;Brugada syndrome;Ventricular brillation, idiopathic;1
326;Butterfly dystrophy, retinal;Foveomacular dystrophy, adult-onset, with choroidal neovascularization;1
327;Butterfly dystrophy, retinal;Macular dystrophy;1
328;Butterfly dystrophy, retinal;Retinitis pigmentosa;1
329;Complementary component deficiency;Combined immunodeficiency;1
330;Cafe-au-lait spots;Colon cancer;2
331;Cafe-au-lait spots;Muir-Torre syndrome;2
332;Cafe-au-lait spots;Turcot syndrome;1
333;Cafe-au-lait spots;Glioblastoma;1
334;Cafe-au-lait spots;Lymphoma;1
335;Cafe-au-lait spots;Lynch cancer family syndrome II;1
336;Cafe-au-lait spots;Neurofibromatosis;1
337;Cafe-au-lait spots;Ovarian cancer;1
338;Caffey disease;Dissection of cervical arteries;1
339;Caffey disease;Ehlers-Danlos syndrome;1
340;Caffey disease;Osteogenesis imperfecta;1
341;Caffey disease;Osteoporosis;1
342;Cancer susceptibility;Colon cancer;1
343;Cancer susceptibility;Endometrial carcinoma;1
344;Cancer susceptibility;Ovarian cancer;1
345;Capillary malformations;Basal cell carcinoma;1
346;Capillary malformations;Parkes Weber syndrome;1
347;Carcinoid tumors, intestinal;Merkel cell carcinoma;1
348;Carcinoid tumors, intestinal;Paragangliomas;1
349;Carcinoid tumors, intestinal;Pheochromocytoma;1
350;Cardiomyopathy;Creatine phosphokinase;1
351;Cardiomyopathy;Muscular dystrophy;4
352;Cardiomyopathy;Myopathy;3
353;Cardiomyopathy;Rippling muscle disease;1
354;Cardiomyopathy;Leigh syndrome;1
355;Cardiomyopathy;Becker muscular dystrophy;1
356;Cardiomyopathy;Duchenne muscular dystrophy;1
357;Cardiomyopathy;Deafness;1
358;Cardiomyopathy;Emery-Dreifuss muscular dystrophy;1
359;Cardiomyopathy;Lipodystrophy;1
360;Cardiomyopathy;Atrial fibrillation;1
361;Cardiomyopathy;Central core disease;1
362;Cardiomyopathy;Barth syndrome;1
363;Cardiomyopathy;Noncompaction of left ventricular myocardium;1
364;Cardiomyopathy;Wolff-Parkinson-White syndrome;1
365;Carney complex;Trismus-pseudocomptodactyly syndrome;1
366;Carney complex;Adrenocortical carcinoma;1
367;Carney complex;Myxoma, intracardiac;1
368;Carney complex;Pigmented adrenocortical disease, primary isolated;1
369;Carney complex;Thyroid carcinoma;1
370;Carpal tunnel syndrome, familial;Amyloid neuropathy;1
371;Carpal tunnel syndrome, familial;Amyloidosis;1
372;Carpal tunnel syndrome, familial;Dystransthyretinemic hyperthyroxinemia;1
373;Cataract;Myopathy;1
374;Cataract;Aniridia, type II;1
375;Cataract;Coloboma, ocular;1
376;Cataract;Ectopia;1
377;Cataract;Eye anomalies;1
378;Cataract;Foveal hypoplasia;1
379;Cataract;Keratitis;1
380;Cataract;Morning glory disc anomaly;1
381;Cataract;Optic nerve hypoplasia/aplasia;1
382;Cataract;Peters anomaly;1
383;Cataract;Anterior segment anomalies and cataract;1
384;Central hypoventilation syndrome;Memory impairment;1
385;Central hypoventilation syndrome;Obsessive-compulsive disorder;1
386;Central hypoventilation syndrome;Hirschsprung disease;4
387;Central hypoventilation syndrome;Shah-Waardenburg syndrome;1
388;Central hypoventilation syndrome;Colonic aganglionosis, total, with small bowel involvement;1
389;Central hypoventilation syndrome;Medullary thyroid carcinoma;1
390;Central hypoventilation syndrome;Multiple endocrine neoplasia;1
391;Central hypoventilation syndrome;Neuroblastoma;1
392;Cerebellar ataxia;Episodic ataxia;1
393;Cerebellar ataxia;Hemiplegic migraine, familial;1
394;Cerebellar ataxia;Spinocereballar ataxia;1
395;Cerebellar ataxia;Hemosiderosis, systemic, due to aceruloplasminemia;1
396;Cerebellar ataxia;Hypoceruloplasminemia;1
397;Cerebral amyloid angiopathy;Coronary artery disease;1
398;Cerebral amyloid angiopathy;HDL cholesterol level QTL;1
399;Cerebral amyloid angiopathy;Tangier disease;1
400;Cervical carcinoma;Achondroplasia;1
401;Cervical carcinoma;Bladder cancer;1
402;Cervical carcinoma;Colon cancer;1
403;Cervical carcinoma;Crouzon syndrome;1
404;Cervical carcinoma;Hypochondroplasia;1
405;Cervical carcinoma;Muenke syndrome;1
406;Cervical carcinoma;Thanatophoric dysplasia, types I and II;1
407;Charcot-Marie-Tooth disease;Dejerine-Sottas disease;3
408;Charcot-Marie-Tooth disease;Neuropathy;4
409;Charcot-Marie-Tooth disease;Spinal muscular atrophy;1
410;Charcot-Marie-Tooth disease;Vertical talus;1
411;Charcot-Marie-Tooth disease;Roussy-Levy syndrome;2
412;Cleft palate;Hypodontia;1
413;Cleft palate;Witkop syndrome;1
414;Cleft palate;Ectodermal dysplasia;1
415;Cleft palate;Zlotogora-Ogur syndrome;1
416;Coats disease;Exudative vitreoretinopathy;1
417;Coats disease;Norrie disease;1
418;Coffin-Lowry syndrome;Mental retardation;1
419;Coloboma, ocular;Aniridia, type II;1
420;Coloboma, ocular;Cataract;1
421;Coloboma, ocular;Ectopia;1
422;Coloboma, ocular;Eye anomalies;1
423;Coloboma, ocular;Foveal hypoplasia;1
424;Coloboma, ocular;Keratitis;1
425;Coloboma, ocular;Morning glory disc anomaly;1
426;Coloboma, ocular;Optic nerve hypoplasia/aplasia;1
427;Coloboma, ocular;Peters anomaly;1
428;Coloboma, ocular;Holoprosencephaly;1
429;Coloboma, ocular;Solitary median maxillary central incisor;1
430;Colon cancer;Adenoma, periampullary;1
431;Colon cancer;Adenomas;2
432;Colon cancer;Desmoid disease, hereditary;1
433;Colon cancer;Gardner syndrome;1
434;Colon cancer;Gastric cancer;2
435;Colon cancer;Turcot syndrome;3
436;Colon cancer;T-cell lymphoblastic leukemia;1
437;Colon cancer;Leukemia;1
438;Colon cancer;von Hippel-Lindau syndrome;1
439;Colon cancer;Adenocarcinoma;1
440;Colon cancer;Melanoma;1
441;Colon cancer;Nonsmall cell lung cancer;1
442;Colon cancer;Hepatic adenoma;3
443;Colon cancer;Ovarian cancer;4
444;Colon cancer;Pilomatricoma;1
445;Colon cancer;Rubenstein-Taybi syndrome;1
446;Colon cancer;Achondroplasia;1
447;Colon cancer;Bladder cancer;1
448;Colon cancer;Cervical carcinoma;1
449;Colon cancer;Crouzon syndrome;1
450;Colon cancer;Hypochondroplasia;1
451;Colon cancer;Muenke syndrome;1
452;Colon cancer;Thanatophoric dysplasia, types I and II;1
453;Colon cancer;Cancer susceptibility;1
454;Colon cancer;Endometrial carcinoma;1
455;Colon cancer;Cafe-au-lait spots;2
456;Colon cancer;Muir-Torre syndrome;2
457;Colon cancer;Glioblastoma;1
458;Colon cancer;Lymphoma;4
459;Colon cancer;Lynch cancer family syndrome II;1
460;Colon cancer;Neurofibromatosis;1
461;Colon cancer;Breast cancer;3
462;Colon cancer;Neuroectodermal tumors;1
463;Colon cancer;Esophageal cancer;1
464;Colon cancer;Loeys-Dietz syndrome;1
465;Colon cancer;Adrenal cortical carcinoma;1
466;Colon cancer;Histiocytoma;1
467;Colon cancer;Li-Fraumeni syndrome;1
468;Colon cancer;Multiple malignancy syndrome;1
469;Colon cancer;Nasopharyngeal carcinoma;1
470;Colon cancer;Osteosarcoma;1
471;Colon cancer;Pancreatic cancer;1
472;Colon cancer;Thyroid carcinoma;1
473;Colon cancer;Oligodontia-colorectal cancer syndrome;1
474;Colon cancer;Germ cell tumor;1
475;Colon cancer;Mesothelioma;1
476;Colon cancer;Sezary syndrome;1
477;Colon cancer;Birt-Hogg-Dube syndrome;1
478;Colon cancer;Pneumothorax, primary spontaneous;1
479;Colon cancer;Renal cell carcinoma;1
480;Colonic aganglionosis, total, with small bowel involvement;Central hypoventilation syndrome;1
481;Colonic aganglionosis, total, with small bowel involvement;Hirschsprung disease;1
482;Colonic aganglionosis, total, with small bowel involvement;Medullary thyroid carcinoma;1
483;Colonic aganglionosis, total, with small bowel involvement;Multiple endocrine neoplasia;1
484;Cone dystrophy;Fundus albipunctatus;1
485;Cone dystrophy;Macular dystrophy;1
486;Cone dystrophy;Retinitis pigmentosa;4
487;Cone dystrophy;Stargardt disease;1
488;Cone dystrophy;Leber congenital amaurosis;4
489;Cone dystrophy;Macular degeneration;1
490;Convulsions;Usher syndrome;1
491;Corneal dystrophy;Amyloidosis;1
492;Corneal dystrophy;Apolipoprotein deficiency;1
493;Corneal dystrophy;Hypertriglyceridemia;1
494;Corneal dystrophy;Hypoalphalipoproteinemia;1
495;Corneal dystrophy;Fuchs endothelial corneal dystrophy;1
496;Corneal dystrophy;Craniofacial anomalies, empty sella turcica, corneal endothelial changes;1
497;Corneal dystrophy;Keratoconus;1
498;Coronary artery disease;Cerebral amyloid angiopathy;1
499;Coronary artery disease;HDL cholesterol level QTL;1
500;Coronary artery disease;Tangier disease;1
501;Costello syndrome;Bladder cancer;1
502;Costello syndrome;Thyroid carcinoma;1
503;Coumarin resistance;Nicotine addiction;1
504;Cowden disease;Polyposis;1
505;Cowden disease;Bannayan-Riley-Ruvalcaba syndrome;1
506;Cowden disease;Endometrial carcinoma;1
507;Cowden disease;Lhermitte-Duclos syndrome;1
508;Cowden disease;Meningioma;1
509;Cowden disease;Oligodendroglioma;1
510;Cowden disease;Prostate cancer;1
511;Cowden disease;Thyroid carcinoma;1
512;Cowden disease;VATER association with hydrocephalus;1
513;CPT deficiency, hepatic;Myopathy;1
514;Cramps, potassium-aggravated;Hyperkalemic periodic paralysis;1
515;Cramps, potassium-aggravated;Hypokalemic periodic paralysis;1
516;Cramps, potassium-aggravated;Myasthenic syndrome;1
517;Cramps, potassium-aggravated;Myotonia congenita;1
518;Cramps, potassium-aggravated;Paramyotonia congenita;1
519;Craniofacial anomalies, empty sella turcica, corneal endothelial changes;Corneal dystrophy;1
520;Craniofacial anomalies, empty sella turcica, corneal endothelial changes;Keratoconus;1
521;Craniofacial-deafness-hand syndrome;Rhabdomyosarcoma;1
522;Craniofacial-deafness-hand syndrome;Waardenburg syndrome;1
523;Craniofacial-skeletal-dermatologic dysplasia;Apert syndrome;1
524;Craniofacial-skeletal-dermatologic dysplasia;Beare-Stevenson cutis gyrata syndrome;1
525;Craniofacial-skeletal-dermatologic dysplasia;Craniosynostosis;1
526;Craniofacial-skeletal-dermatologic dysplasia;Crouzon syndrome;1
527;Craniofacial-skeletal-dermatologic dysplasia;Gastric cancer;1
528;Craniofacial-skeletal-dermatologic dysplasia;Jackson-Weiss syndrome;1
529;Craniofacial-skeletal-dermatologic dysplasia;Pfeiffer syndrome;1
530;Craniofacial-skeletal-dermatologic dysplasia;Saethre-Chotzen syndrome;1
531;Craniosynostosis;Apert syndrome;1
532;Craniosynostosis;Beare-Stevenson cutis gyrata syndrome;1
533;Craniosynostosis;Craniofacial-skeletal-dermatologic dysplasia;1
534;Craniosynostosis;Crouzon syndrome;1
535;Craniosynostosis;Gastric cancer;1
536;Craniosynostosis;Jackson-Weiss syndrome;1
537;Craniosynostosis;Pfeiffer syndrome;1
538;Craniosynostosis;Saethre-Chotzen syndrome;1
539;Craniosynostosis;Parietal foramina;1
540;Creatine phosphokinase;Cardiomyopathy;1
541;Creatine phosphokinase;Muscular dystrophy;1
542;Creatine phosphokinase;Myopathy;1
543;Creatine phosphokinase;Rippling muscle disease;1
544;Creutzfeldt-Jakob disease;Gerstmann-Straussler disease;1
545;Creutzfeldt-Jakob disease;Huntington disease;1
546;Creutzfeldt-Jakob disease;Insomnia;1
547;Creutzfeldt-Jakob disease;Prion disease with protracted course;1
548;Crouzon syndrome;Achondroplasia;1
549;Crouzon syndrome;Bladder cancer;1
550;Crouzon syndrome;Cervical carcinoma;1
